"Step","pipeline: rgbd2colmap - train/loss_viewpoint - lpips","pipeline: rgbd2colmap - train/loss_viewpoint - lpips__MIN","pipeline: rgbd2colmap - train/loss_viewpoint - lpips__MAX","pipeline: rgbd2colmap_no_icp - train/loss_viewpoint - lpips","pipeline: rgbd2colmap_no_icp - train/loss_viewpoint - lpips__MIN","pipeline: rgbd2colmap_no_icp - train/loss_viewpoint - lpips__MAX","pipeline: rgbd2colmap_colmap_poses - train/loss_viewpoint - lpips","pipeline: rgbd2colmap_colmap_poses - train/loss_viewpoint - lpips__MIN","pipeline: rgbd2colmap_colmap_poses - train/loss_viewpoint - lpips__MAX","pipeline: colmap_reconstruction - train/loss_viewpoint - lpips","pipeline: colmap_reconstruction - train/loss_viewpoint - lpips__MIN","pipeline: colmap_reconstruction - train/loss_viewpoint - lpips__MAX"
"100","0.5000078216195106","0.4561943531036377","0.5521796107292175","0.5036904376745224","0.45182539224624635","0.5475590348243714","0.4941390120983124","0.44315770268440247","0.5439632415771485","0.5187571102380752","0.4611109793186188","0.5857181668281556"
"500","0.4835274562239647","0.4430877029895783","0.5421106219291687","0.4818486285209656","0.4258119761943817","0.5363254427909852","0.4781338727474213","0.4241420388221741","0.5320871233940124","0.47811069071292883","0.420897388458252","0.53762286901474"
"1000","0.48600957393646244","0.4331131875514984","0.5464998126029968","0.46986210167407993","0.40890898108482365","0.5135483145713806","0.4598396533727646","0.3947269976139069","0.5114939689636231","0.4413239753246308","0.39054071307182314","0.5406764209270477"
"2000","0.47113651583592103","0.38718063831329347","0.5205344915390014","0.4091270375251771","0.34174318313598634","0.46001958250999453","0.39223758399486547","0.31849517822265627","0.4672937512397766","0.3878940665721894","0.3202406883239746","0.523450231552124"
"3000","0.45758949617544814","0.3491211295127869","0.5229301452636719","0.37584671258926394","0.30479908585548404","0.45033730268478395","0.3560519644618034","0.28391005992889407","0.43519377112388613","0.35873755276203156","0.266329562664032","0.5193340063095093"
"4000","0.4439800610144933","0.3308473348617554","0.5154638051986694","0.3419692203402519","0.26524255871772767","0.42741939425468445","0.3212577474117279","0.24208185374736788","0.41181699037551883","0.3330324557423592","0.21912033259868624","0.5124129295349121"
"5000","0.4302137777209282","0.30810285806655885","0.5078324317932129","0.3194031673669815","0.23984134793281556","0.4159201800823212","0.29745258003473285","0.21938121020793916","0.3860664010047913","0.31090570390224453","0.18352462351322174","0.5061395049095154"
"6000","0.41925615519285203","0.291858845949173","0.506552141904831","0.30250416159629817","0.2204232543706894","0.40854071974754336","0.2802904936671257","0.20224708914756775","0.38143467903137207","0.2955043101310731","0.1609569013118744","0.5047145068645478"
"7000","0.4087542069454988","0.280047020316124","0.5069839477539063","0.2837472125887871","0.20412744283676149","0.3935494065284729","0.2617348632216454","0.1863781213760376","0.3612982571125031","0.28101550996303554","0.1467465937137604","0.49601301550865173"
"10000","0.38366690203547477","0.2480807036161423","0.4939763188362122","0.24858872950077063","0.1829009622335434","0.3636869311332703","0.22706399068236355","0.15102571398019793","0.32711888253688814","0.2477562254667282","0.11839836537837983","0.48430238366127015"
"15000","0.34585171317060787","0.21387218832969668","0.46765672564506533","0.2075809520483017","0.14989860355854034","0.331540459394455","0.18544051185250282","0.12293853610754013","0.27322944700717927","0.20820217072963718","0.09484379887580872","0.45759494900703435"
"30000","0.28853759927054246","0.11739016622304917","0.41794491410255435","0.16671734124422075","0.09319707751274109","0.2755319207906723","0.1499675078690052","0.09381649643182755","0.21907069981098176","0.16017780624330047","0.07259949818253518","0.3926067352294922"
