"Step","pipeline: rgbd2colmap - train/loss_viewpoint - psnr","pipeline: rgbd2colmap - train/loss_viewpoint - psnr__MIN","pipeline: rgbd2colmap - train/loss_viewpoint - psnr__MAX","pipeline: rgbd2colmap_no_icp - train/loss_viewpoint - psnr","pipeline: rgbd2colmap_no_icp - train/loss_viewpoint - psnr__MIN","pipeline: rgbd2colmap_no_icp - train/loss_viewpoint - psnr__MAX","pipeline: rgbd2colmap_colmap_poses - train/loss_viewpoint - psnr","pipeline: rgbd2colmap_colmap_poses - train/loss_viewpoint - psnr__MIN","pipeline: rgbd2colmap_colmap_poses - train/loss_viewpoint - psnr__MAX","pipeline: colmap_reconstruction - train/loss_viewpoint - psnr","pipeline: colmap_reconstruction - train/loss_viewpoint - psnr__MIN","pipeline: colmap_reconstruction - train/loss_viewpoint - psnr__MAX"
"100","14.32410906155904","13.69702091217041","15.52977695465088","14.390048236846926","13.532941627502442","15.593875885009766","14.647435169219971","13.852846908569337","15.601515579223634","13.885658397674565","12.81178436279297","15.32998332977295"
"500","15.77600402832031","14.744708251953126","17.073960685729983","16.60603378295898","14.641577529907227","18.149172973632812","16.94764970779419","14.767593574523927","18.6999324798584","17.66647249221802","14.529839324951173","19.817524337768557"
"1000","16.95346984863281","15.628708648681641","19.840476226806643","18.668128490447998","16.33266582489014","20.350189208984375","19.11624197006226","16.77534923553467","20.988552474975588","19.615492839813236","15.41071834564209","22.1811336517334"
"2000","18.07262463569641","16.208919334411622","22.35946922302246","21.240566101074222","18.825276565551757","23.010676574707034","21.66375623703003","18.977758598327636","24.13964767456055","21.366451511383058","16.16763973236084","23.93059463500977"
"3000","18.590743319193525","15.285763549804688","24.40620231628418","22.18527774810791","19.871357727050782","24.405497360229493","22.720137596130375","19.825626754760744","25.453880310058594","22.224457645416262","15.994331550598146","25.74989471435547"
"4000","19.43062300682068","16.550602149963378","24.94708251953125","23.276368179321288","20.948630523681643","25.360023880004885","23.784642715454105","20.91192207336426","26.39051971435547","23.06453722000122","17.120096015930176","26.41022529602051"
"5000","19.935820341110226","16.980311393737793","25.76619567871094","24.035954895019536","21.42898864746094","25.952234649658205","24.683868408203125","21.551281356811526","26.895428466796876","23.87788593292236","16.946626281738283","27.597701644897462"
"6000","20.316350555419923","16.752890396118165","26.19428291320801","24.486084899902345","21.514445877075197","26.576387405395508","25.115631675720216","21.629914474487308","27.761167144775392","24.312995624542236","16.249497795104983","28.85204238891602"
"7000","20.697683795293173","16.96356430053711","26.95216522216797","25.244370765686035","22.637426757812502","27.284695816040042","25.94911930084229","22.994601821899415","28.126044082641602","24.93955947875977","17.609719848632814","29.30679588317871"
"10000","21.504150358835858","17.952229309082032","28.278891754150393","26.117115440368657","23.89611167907715","28.173236846923828","27.021168785095217","24.150862121582033","29.128495407104495","26.211716556549078","18.61666431427002","30.795780181884766"
"15000","22.930841986338297","19.394158935546876","30.601480865478518","28.08970546722412","25.303778076171877","30.261111450195315","29.283157463073735","26.261110305786133","31.530307388305665","28.207799301147464","20.39343719482422","32.587202072143555"
"30000","25.630100345611577","21.568247604370118","32.59778366088867","30.874336013793947","27.301715850830078","32.815399169921875","32.01678062438965","28.60466690063477","33.81647872924805","31.975689392089844","25.80457878112793","35.39909896850586"
