"Step","office26_vs_003 - total_gaussians","office26_vs_003 - total_gaussians__MIN","office26_vs_003 - total_gaussians__MAX","office26_vs_03 - total_gaussians","office26_vs_03 - total_gaussians__MIN","office26_vs_03 - total_gaussians__MAX","office26_vs_01 - total_gaussians","office26_vs_01 - total_gaussians__MIN","office26_vs_01 - total_gaussians__MAX","office26_vs_005 - total_gaussians","office26_vs_005 - total_gaussians__MIN","office26_vs_005 - total_gaussians__MAX"
"100","530395","530395","530395","2072","2072","2072","29276","29276","29276","143111","143111","143111"
"500","530395","530395","530395","2072","2072","2072","29276","29276","29276","143111","143111","143111"
"1000","627714","627714","627714","12653","12653","12653","85949","85949","85949","234333","234333","234333"
"2000","979919","979919","979919","313465","313465","313465","497129","497129","497129","614940","614940","614940"
"3000","1417872","1417872","1417872","730977","730977","730977","938533","938533","938533","1031537","1031537","1031537"
"4000","1623119","1623119","1623119","1031449","1031449","1031449","1195456","1195456","1195456","1235822","1235822","1235822"
"5000","2156315","2156315","2156315","1517283","1517283","1517283","1692342","1692342","1692342","1698223","1698223","1698223"
"6000","2755629","2755629","2755629","2058502","2058502","2058502","2260791","2260791","2260791","2242454","2242454","2242454"
"7000","2890962","2890962","2890962","2327312","2327312","2327312","2468141","2468141","2468141","2397784","2397784","2397784"
"10000","3940882","3940882","3940882","3394212","3394212","3394212","3537579","3537579","3537579","3474034","3474034","3474034"
"15000","5211364","5211364","5211364","4555936","4555936","4555936","4824191","4824191","4824191","4852107","4852107","4852107"
"30000","5211364","5211364","5211364","4555936","4555936","4555936","4824191","4824191","4824191","4852107","4852107","4852107"
